Date,Open,High,Low,Close,Volume
2020-01-02,86.1,88.0,85.95,88.0,781910.0
2020-01-03,88.0,89.9,87.0,89.0,1849370.0
2020-01-06,88.95,88.95,86.85,88.5,1664410.0
2020-01-07,87.55,88.45,86.55,86.55,865530.0
2020-01-08,86.5,86.5,84.15,85.4,2088170.0
2020-01-09,85.4,86.7,85.0,85.0,1524950.0
2020-01-10,85.0,87.0,85.0,86.5,1373480.0
2020-01-14,85.0,86.8,84.05,86.8,3155420.0
2020-01-15,86.45,86.45,83.65,83.7,3221650.0
2020-01-16,83.85,85.5,83.85,85.2,2005420.0
2020-01-17,84.5,87.5,84.5,87.5,1925250.0
2020-01-20,87.05,87.5,84.55,87.5,860250.0
2020-01-21,86.65,86.65,83.8,83.8,1223310.0
2020-01-22,83.8,83.8,81.05,81.75,5453750.0
2020-01-23,82.0,82.9,81.9,81.95,1339120.0
2020-01-24,82.15,82.55,82.15,82.25,3024200.0
2020-01-27,82.3,83.0,82.3,82.7,1002900.0
2020-01-28,82.7,83.25,81.85,83.0,745580.0
2020-01-29,83.0,83.3,82.05,83.0,1661830.0
2020-01-30,83.0,84.5,82.75,84.5,2518360.0
2020-01-31,84.5,84.5,82.1,82.5,3514760.0
2020-02-03,82.5,82.7,81.3,81.75,875390.0
2020-02-04,81.75,83.9,81.5,82.3,1355790.0
2020-02-05,83.3,85.65,83.3,85.0,2434200.0
2020-02-06,85.0,85.95,84.55,85.5,1562480.0
2020-02-07,85.9,86.1,84.85,86.0,1188530.0
2020-02-10,86.1,86.1,84.7,86.0,1176990.0
2020-02-11,86.0,86.0,85.0,85.8,1318290.0
2020-02-12,85.55,86.65,85.5,86.2,1486180.0
2020-02-13,86.5,87.95,86.3,87.0,3930070.0
2020-02-14,87.0,87.1,85.55,86.0,1777060.0
2020-02-17,86.0,86.0,83.9,84.6,3345050.0
2020-02-18,84.2,85.0,83.5,83.5,1320400.0
2020-02-19,84.0,85.85,84.0,85.2,1202400.0
2020-02-20,85.5,86.1,85.0,85.0,6030630.0
2020-02-21,86.0,86.0,83.5,84.0,4588920.0
2020-02-24,82.05,82.45,81.6,81.6,2161070.0
2020-02-26,81.5,81.65,80.0,81.0,4129320.0
2020-02-27,80.0,81.0,80.0,80.0,2914090.0
2020-02-28,79.95,79.95,74.1,74.1,3983060.0
2020-03-02,75.5,76.25,74.1,75.5,3773810.0
2020-03-03,76.5,78.5,76.5,77.95,2457610.0
2020-03-04,78.0,78.3,76.45,77.75,1809740.0
2020-03-05,78.45,78.95,75.75,77.0,1718180.0
2020-03-06,77.0,77.0,74.1,74.5,1812990.0
2020-03-09,72.0,72.0,67.0,67.0,2586610.0
2020-03-10,66.0,74.0,64.0,71.5,3067790.0
2020-03-11,72.1,73.45,71.5,72.8,2688420.0
2020-03-12,71.0,71.1,65.1,65.5,2933630.0
2020-03-13,61.6,68.0,59.0,68.0,3398170.0
2020-03-16,65.0,66.0,60.15,62.3,1902200.0
2020-03-19,58.0,58.25,48.0,55.5,4101470.0
2020-03-20,56.5,59.0,52.0,55.0,3893850.0
2020-03-23,50.0,54.2,49.7,51.4,4152890.0
2020-03-24,52.1,54.0,51.55,52.0,3765650.0
2020-03-25,55.8,56.9,54.6,55.4,4533620.0
