Date,Open,High,Low,Close,Volume
2020-01-02,128.0,131.9,128.0,130.0,1975660.0
2020-01-03,128.6,136.2,128.6,135.5,2122790.0
2020-01-06,134.0,135.0,131.5,135.0,907670.0
2020-01-07,133.3,134.9,130.3,132.5,2538490.0
2020-01-08,130.1,132.1,128.1,131.8,1809940.0
2020-01-09,130.2,134.0,130.0,134.0,1356850.0
2020-01-10,135.0,135.0,131.3,132.5,1380950.0
2020-01-14,134.0,135.0,130.6,135.0,2126760.0
2020-01-15,131.9,132.8,130.5,131.5,1524240.0
2020-01-16,131.3,132.9,130.8,132.1,1105890.0
2020-01-17,132.1,132.9,131.0,132.7,1689140.0
2020-01-20,131.2,132.9,130.4,132.9,1870040.0
2020-01-21,132.5,132.8,131.3,132.6,770350.0
2020-01-22,131.2,132.6,131.1,131.8,877070.0
2020-01-23,131.9,132.6,130.3,132.5,976310.0
2020-01-24,132.5,132.5,131.5,132.5,622140.0
2020-01-27,132.5,134.7,131.4,132.5,541470.0
2020-01-28,131.5,133.3,131.5,131.9,890070.0
2020-01-29,132.5,132.8,131.0,132.0,1214770.0
2020-01-30,131.5,131.9,131.0,131.5,1177180.0
2020-01-31,132.0,132.0,130.0,130.0,2446340.0
2020-02-03,130.0,130.0,126.0,128.0,383710.0
2020-02-04,127.0,131.0,127.0,127.4,1550480.0
2020-02-05,129.9,129.9,127.0,127.2,1744200.0
2020-02-06,128.7,129.4,127.0,127.6,1107130.0
2020-02-07,127.1,128.5,127.1,128.0,1132620.0
2020-02-10,127.5,128.0,126.0,126.0,929910.0
2020-02-11,127.3,127.3,126.0,126.0,607060.0
2020-02-12,125.4,126.7,121.6,121.6,670420.0
2020-02-13,121.6,124.7,121.4,123.4,667510.0
2020-02-14,121.4,124.7,119.0,119.0,1399580.0
2020-02-17,119.3,122.0,116.0,116.0,1041220.0
2020-02-18,116.0,121.8,116.0,119.6,2733210.0
2020-02-19,119.0,124.7,119.0,124.2,1717720.0
2020-02-20,126.0,126.2,125.0,125.4,1396270.0
2020-02-21,125.1,125.9,117.9,118.0,1358650.0
2020-02-24,117.3,117.3,115.0,115.0,952870.0
2020-02-26,113.4,113.4,94.85,102.0,2775290.0
2020-02-27,103.6,107.8,103.6,106.0,2245430.0
2020-02-28,102.0,107.0,101.8,106.0,2424810.0
2020-03-02,104.5,108.9,104.4,106.0,1843960.0
2020-03-03,108.4,108.4,106.0,106.0,1644080.0
2020-03-04,105.9,106.5,104.1,105.7,2865780.0
2020-03-05,107.0,109.0,104.1,105.1,2457610.0
2020-03-06,104.0,104.0,98.6,102.0,3112430.0
2020-03-09,97.0,98.0,87.3,89.0,2333070.0
2020-03-10,86.7,92.95,84.35,92.0,6194110.0
2020-03-11,92.2,100.0,89.95,90.05,3964590.0
2020-03-12,87.0,87.0,80.0,80.05,4368080.0
2020-03-13,80.05,88.0,72.0,85.0,4499310.0
2020-03-16,80.75,86.5,75.0,85.0,2072470.0
2020-03-19,75.95,76.0,61.85,71.5,4754890.0
2020-03-20,71.65,77.0,71.65,76.0,3455390.0
2020-03-23,72.5,73.0,66.1,69.5,1556420.0
2020-03-24,68.5,71.0,66.05,66.05,2951080.0
2020-03-25,69.5,70.95,68.0,69.0,2225660.0
2020-03-26,70.2,75.5,70.0,74.1,1682270.0
2020-03-27,76.2,78.5,74.2,74.25,2108460.0
2020-03-30,74.2,74.2,69.0,74.0,1088600.0
2020-03-31,73.95,76.25,72.5,74.7,1930410.0
2020-04-01,73.0,77.0,72.5,77.0,1394050.0
2020-04-02,73.15,74.0,72.0,72.0,2135640.0
2020-04-03,72.5,73.75,70.0,70.0,2575920.0
2020-04-06,71.15,74.0,71.0,74.0,1579380.0
2020-04-07,76.1,77.3,73.05,75.0,2062980.0
2020-04-08,74.9,75.95,72.85,73.75,1343500.0
2020-04-13,73.5,74.8,73.5,74.8,3279280.0
2020-04-14,75.2,84.0,75.2,80.9,2157080.0
2020-04-15,82.0,86.0,82.0,84.5,2395730.0
2020-04-16,82.5,83.0,75.2,75.2,2636240.0
2020-04-17,78.2,81.0,78.2,80.5,3133730.0
2020-04-20,82.0,82.95,79.95,80.45,619780.0
2020-04-21,79.4,79.4,77.0,77.0,2518510.0
2020-04-22,76.6,81.05,75.3,81.05,973030.0
2020-04-23,81.0,83.45,80.0,82.2,1161310.0
2020-04-24,82.2,82.2,78.0,78.0,797280.0
2020-04-27,79.9,82.0,79.0,82.0,734270.0
2020-04-28,82.15,88.0,81.5,88.0,1919750.0
2020-04-29,86.0,86.8,85.0,86.2,1554540.0
2020-04-30,88.0,92.8,87.55,89.6,3754000.0
2020-05-04,88.6,88.85,85.0,88.3,2030760.0
2020-05-05,88.3,88.3,86.0,86.0,1037880.0
2020-05-06,86.3,86.3,82.5,83.0,2159020.0
2020-05-07,83.2,84.5,80.05,82.55,1559340.0
2020-05-08,83.5,84.95,81.8,83.0,4263570.0
2020-05-11,83.0,85.0,81.5,84.6,2288630.0
2020-05-12,85.1,85.5,84.6,84.9,2269260.0
2020-05-13,84.4,84.4,82.5,83.0,615110.0
2020-05-14,80.05,82.0,80.0,82.0,1345890.0
2020-05-15,82.15,82.9,80.5,80.5,2585710.0
2020-05-18,80.0,84.0,79.2,82.0,719170.0
2020-05-19,82.0,84.5,82.0,84.5,1233630.0
2020-05-20,84.0,84.45,83.0,84.0,691120.0
2020-05-21,82.2,84.9,82.2,84.5,1021500.0
2020-05-22,84.05,84.7,82.2,84.3,781970.0
2020-05-26,85.0,85.45,81.45,85.3,512050.0
2020-05-27,84.0,85.0,82.5,85.0,1032720.0
2020-05-28,83.5,84.2,82.7,84.0,1088530.0
2020-05-29,82.9,89.0,82.9,87.7,4369510.0
2020-06-01,87.0,89.15,86.0,88.45,988920.0
2020-06-02,88.5,91.4,88.5,90.0,1888970.0
2020-06-03,89.2,98.0,89.2,95.9,1563470.0
2020-06-04,95.0,105.6,95.0,105.6,3543320.0
2020-06-05,102.0,102.0,99.25,100.0,3187200.0
2020-06-08,102.0,102.8,98.6,102.0,1598230.0
2020-06-09,101.9,107.0,100.8,107.0,1857510.0
2020-06-10,103.0,104.6,101.1,104.0,2223680.0
2020-06-11,103.0,103.1,99.0,103.1,2435950.0
2020-06-15,98.2,101.6,97.75,99.6,2731990.0
2020-06-16,99.7,105.0,98.65,105.0,2359490.0
