Date,Open,High,Low,Close,Volume
2020-01-02,216.0,216.6,210.4,213.0,377920.0
2020-01-03,215.0,218.0,213.8,214.8,1396990.0
2020-01-06,213.8,213.8,205.8,213.0,444130.0
2020-01-07,213.0,217.0,213.0,217.0,777460.0
2020-01-08,214.4,214.4,210.2,210.2,414790.0
2020-01-09,210.4,211.8,207.0,207.0,463590.0
2020-01-10,208.0,211.0,203.8,206.6,304320.0
2020-01-14,207.6,212.0,206.6,212.0,447000.0
2020-01-15,211.0,212.0,206.0,206.0,308320.0
2020-01-16,208.0,208.0,200.2,201.0,703890.0
2020-01-17,202.0,213.6,202.0,213.6,481370.0
2020-01-20,214.0,214.4,210.0,212.8,310910.0
2020-01-21,212.6,212.6,207.4,209.4,225600.0
2020-01-22,209.4,215.0,207.8,209.0,367870.0
2020-01-23,209.0,212.0,208.0,211.6,278020.0
2020-01-24,211.6,217.0,211.0,217.0,596560.0
2020-01-27,216.0,216.0,211.0,213.2,219790.0
2020-01-28,213.2,213.2,204.4,205.0,795770.0
2020-01-29,205.4,207.0,201.0,203.6,318090.0
2020-01-30,202.2,203.0,200.0,200.2,580180.0
2020-01-31,200.2,201.0,191.2,191.2,876750.0
2020-02-03,191.9,197.2,190.0,196.0,426520.0
2020-02-04,197.5,200.0,195.0,195.0,1281730.0
2020-02-05,195.1,196.8,190.5,190.6,1369170.0
2020-02-06,190.8,194.3,190.8,191.9,1475450.0
2020-02-07,193.0,194.0,192.3,192.5,283570.0
2020-02-10,193.0,194.0,190.0,190.0,514380.0
2020-02-11,191.0,193.9,191.0,192.0,811210.0
2020-02-12,192.0,194.0,191.0,192.0,507220.0
2020-02-13,192.0,195.0,191.0,195.0,275400.0
2020-02-14,194.9,194.9,185.2,185.2,727570.0
2020-02-17,187.2,190.0,187.1,188.8,281170.0
2020-02-18,189.6,189.7,185.2,185.2,500990.0
2020-02-19,184.6,185.4,181.5,184.0,1798180.0
2020-02-20,184.0,194.0,184.0,188.0,1087480.0
2020-02-21,190.8,191.8,188.9,189.0,1135990.0
2020-02-24,190.2,190.2,185.2,185.6,1239120.0
2020-02-26,180.0,181.3,170.2,175.1,2328310.0
2020-02-27,175.4,180.0,174.5,174.5,652780.0
2020-02-28,173.6,173.6,170.0,170.0,1743110.0
2020-03-02,169.9,172.0,165.0,167.1,990990.0
2020-03-03,168.1,172.0,168.0,168.0,1158580.0
2020-03-04,168.7,174.6,167.2,174.6,869400.0
2020-03-05,175.0,184.0,171.3,184.0,1144230.0
2020-03-06,183.0,183.0,173.4,176.5,637540.0
2020-03-09,170.0,170.1,161.5,163.0,1144100.0
2020-03-10,160.0,160.9,153.0,158.0,1251780.0
2020-03-11,159.0,166.3,159.0,166.3,916340.0
2020-03-12,162.0,162.0,150.0,153.0,1198200.0
2020-03-13,145.0,145.0,124.5,140.5,2203770.0
2020-03-16,133.0,134.0,120.5,121.0,2237330.0
2020-03-19,105.0,106.2,91.1,91.1,3310100.0
2020-03-20,97.5,103.7,95.65,100.0,1994100.0
2020-03-23,98.0,99.9,91.5,95.0,2580240.0
2020-03-24,98.95,99.85,95.0,95.0,1597120.0
2020-03-25,101.8,101.8,98.0,98.45,4027090.0
2020-03-26,100.0,104.5,99.0,102.2,3227240.0
2020-03-27,107.4,111.0,103.0,107.0,3592270.0
2020-03-30,106.9,106.9,100.1,103.0,801630.0
2020-03-31,105.0,109.5,105.0,106.4,1549020.0
2020-04-01,107.0,109.6,103.0,103.2,2526960.0
2020-04-02,102.9,103.2,102.0,102.0,1284860.0
2020-04-03,102.3,105.0,102.0,102.0,846300.0
2020-04-06,104.6,106.4,103.5,106.0,1865350.0
2020-04-07,110.2,112.5,109.0,110.5,2745330.0
2020-04-08,111.0,120.0,108.1,120.0,2922350.0
2020-04-13,121.0,136.1,121.0,135.0,2592310.0
2020-04-14,139.9,148.0,139.8,146.5,3519200.0
2020-04-15,150.0,152.1,143.5,148.6,3944620.0
2020-04-16,147.0,147.0,137.4,141.5,2318510.0
2020-04-17,142.0,147.0,141.4,145.0,4896160.0
2020-04-20,148.5,149.9,143.0,143.0,1587640.0
2020-04-21,142.5,142.5,133.0,136.1,3140890.0
2020-04-22,135.0,135.0,131.0,134.0,5807560.0
2020-04-23,137.0,140.0,135.5,136.0,2547870.0
2020-04-24,137.8,137.8,133.7,134.3,1040620.0
2020-04-27,135.0,136.5,134.3,134.5,1602920.0
2020-04-28,136.0,141.4,135.6,141.2,2294620.0
2020-04-29,141.2,147.0,139.1,147.0,1477640.0
2020-04-30,148.0,149.0,143.0,143.1,1930300.0
2020-05-04,143.1,143.1,137.0,138.2,1249330.0
2020-05-05,141.0,141.0,139.3,139.6,544550.0
2020-05-06,141.0,141.8,138.5,138.5,505940.0
2020-05-07,138.9,140.9,136.0,136.5,928450.0
2020-05-08,138.5,139.5,135.2,136.0,626350.0
2020-05-11,137.2,141.0,136.5,140.5,440240.0
2020-05-12,141.2,141.8,138.6,139.4,948490.0
2020-05-13,140.6,141.0,137.1,138.0,398280.0
2020-05-14,139.0,139.6,135.9,136.6,599170.0
2020-05-15,139.0,140.0,136.2,137.2,618100.0
2020-05-18,139.0,139.0,135.9,136.4,895530.0
2020-05-19,138.0,140.0,137.4,140.0,778900.0
2020-05-20,140.0,140.0,137.2,137.2,477520.0
2020-05-21,138.0,139.0,136.3,136.5,658920.0
2020-05-22,138.0,138.0,133.0,133.0,1360790.0
2020-05-26,133.0,134.0,117.0,119.0,4724140.0
2020-05-27,120.1,123.0,120.0,122.0,1051560.0
2020-05-28,120.0,120.0,115.2,116.1,3063000.0
2020-05-29,116.5,118.8,108.7,108.7,13572400.0
2020-06-01,113.0,118.7,112.0,115.1,3567090.0
2020-06-02,119.0,125.0,117.0,123.6,2255880.0
2020-06-03,125.7,131.8,125.7,130.0,2829760.0
2020-06-04,132.0,135.0,129.5,133.0,2078530.0
2020-06-05,133.0,133.9,126.0,130.0,1682420.0
2020-06-08,133.0,133.0,128.0,132.5,2210140.0
2020-06-09,133.1,139.0,132.5,138.9,2954630.0
2020-06-10,139.9,145.0,139.1,145.0,2982850.0
2020-06-11,144.0,145.3,140.5,145.0,2809030.0
2020-06-15,145.0,146.0,141.0,144.2,2435150.0
2020-06-16,144.0,146.3,141.5,142.5,1862660.0
2020-06-17,142.7,145.4,142.7,145.0,2770450.0
2020-06-18,145.1,150.0,145.0,149.9,2089330.0
2020-06-19,149.0,151.7,146.0,150.0,1624970.0
2020-06-22,151.0,151.0,147.9,149.1,824750.0
2020-06-23,149.0,149.0,144.0,144.0,1563290.0
2020-06-24,144.5,147.5,141.3,143.9,741670.0
2020-06-25,142.9,142.9,139.5,141.2,933760.0
2020-06-26,141.2,142.9,140.0,140.2,411960.0
2020-06-29,139.0,139.0,135.1,137.9,718430.0
2020-06-30,137.0,140.0,135.5,140.0,882320.0
2020-07-01,140.0,144.0,139.5,143.8,706780.0
2020-07-02,143.8,147.0,143.7,147.0,603020.0
2020-07-03,147.5,149.3,146.0,147.5,1203620.0
2020-07-06,147.5,148.0,145.7,147.3,513790.0
2020-07-07,147.3,147.3,146.4,147.0,1198600.0
2020-07-08,146.5,147.0,145.9,146.6,704290.0
2020-07-09,146.4,146.4,140.0,140.0,695070.0
2020-07-10,139.5,139.5,137.2,137.5,897060.0
2020-07-13,137.5,141.8,137.5,140.9,869600.0
2020-07-14,140.9,142.5,140.0,140.0,424880.0
2020-07-15,140.0,140.0,136.2,136.2,1210440.0
2020-07-16,136.5,137.9,133.0,133.0,1849380.0
2020-07-17,135.5,136.3,133.5,133.6,875150.0
2020-07-20,135.0,135.5,133.2,133.5,360850.0
2020-07-21,134.8,135.8,133.2,134.7,500710.0
2020-07-22,134.7,134.7,130.0,130.0,751080.0
2020-07-23,130.0,130.0,125.0,126.6,1364330.0
2020-07-24,128.1,129.7,127.5,128.5,400400.0
2020-07-27,128.3,128.3,125.3,128.0,653170.0
2020-07-28,128.0,129.8,127.9,129.1,1161930.0
2020-07-29,130.0,133.5,129.8,131.0,3009760.0
2020-07-30,133.0,135.0,132.0,135.0,1402350.0
2020-08-03,129.5,129.5,126.5,127.0,1635390.0
2020-08-04,127.2,130.8,126.2,126.2,657170.0
2020-08-05,128.0,133.4,128.0,131.0,870380.0
2020-08-06,130.0,135.0,129.0,135.0,842300.0
2020-08-07,133.2,135.0,132.0,134.2,1144520.0
2020-08-10,133.0,138.5,131.2,137.5,1094390.0
2020-08-11,138.0,144.0,138.0,141.1,1372610.0
2020-08-12,141.1,142.4,139.0,140.2,769320.0
2020-08-13,141.0,143.5,140.9,142.5,577960.0
2020-08-14,142.5,144.8,142.0,144.5,914330.0
2020-08-17,144.0,144.0,137.5,140.9,392420.0
2020-08-18,141.0,143.8,139.1,140.5,798140.0
2020-08-19,141.5,143.0,140.2,140.2,549710.0
2020-08-20,141.4,141.4,139.5,139.5,1407640.0
2020-08-24,139.6,141.5,139.6,141.2,462920.0
2020-08-25,141.0,141.2,139.5,141.0,392840.0
2020-08-26,140.0,140.1,136.2,138.5,1156960.0
2020-08-27,138.3,138.8,136.5,138.7,308450.0
2020-08-28,138.0,138.1,135.1,135.1,1594030.0
2020-09-01,137.0,137.0,133.6,133.6,1268270.0
2020-09-02,133.6,136.8,133.6,136.8,477410.0
2020-09-03,137.0,139.0,137.0,137.8,661710.0
2020-09-04,137.2,138.6,133.5,136.0,2670630.0
2020-09-07,136.1,138.4,136.1,138.1,499370.0
2020-09-08,138.1,138.2,136.1,138.1,839820.0
2020-09-09,138.0,138.1,136.0,136.8,627960.0
2020-09-10,137.6,137.6,134.2,136.0,701320.0
2020-09-11,136.0,136.0,135.0,135.6,548660.0
2020-09-14,135.5,135.5,134.8,135.0,1724300.0
2020-09-15,135.0,135.5,134.5,134.9,780190.0
2020-09-16,134.8,134.9,133.2,133.3,1384520.0
2020-09-17,134.0,136.0,130.2,130.2,1570770.0
2020-09-18,132.0,133.0,130.2,130.2,2676800.0
2020-09-21,132.0,134.0,131.7,131.9,544140.0
2020-09-22,133.9,133.9,131.6,132.5,1212020.0
2020-09-23,133.0,138.5,133.0,138.1,983000.0
2020-09-24,138.3,139.0,136.6,138.0,465710.0
2020-09-25,138.0,138.4,137.0,138.0,505510.0
2020-09-28,138.5,139.4,138.2,139.1,465940.0
2020-09-29,140.0,144.8,140.0,144.8,1582390.0
2020-09-30,144.7,145.0,143.2,145.0,1423680.0
2020-10-01,145.0,145.0,143.0,143.6,330260.0
2020-10-02,143.5,143.8,140.5,143.0,516190.0
2020-10-05,143.0,143.0,141.1,141.1,947680.0
2020-10-06,141.0,141.3,137.8,137.8,734570.0
2020-10-07,137.8,137.9,137.2,137.7,693560.0
2020-10-08,138.0,143.2,138.0,142.7,846440.0
2020-10-09,143.0,144.5,142.8,143.8,746480.0
2020-10-12,143.8,145.4,142.9,145.4,831650.0
2020-10-13,145.4,147.5,144.3,145.5,792550.0
2020-10-14,145.1,146.9,145.1,146.7,880800.0
2020-10-15,146.7,147.5,146.6,147.2,389960.0
2020-10-16,146.0,147.0,145.4,147.0,380910.0
2020-10-19,147.1,154.8,147.1,154.6,1882710.0
2020-10-20,154.6,174.0,154.6,169.0,3944710.0
2020-10-21,170.0,175.0,165.1,170.0,3108770.0
2020-10-22,170.0,177.8,168.5,170.5,2960400.0
2020-10-23,172.0,179.0,171.9,179.0,2351810.0
2020-10-26,179.0,179.0,170.0,176.4,1448520.0
2020-10-27,175.5,175.5,170.6,173.2,2195390.0
2020-10-28,173.2,176.4,171.6,174.5,690540.0
2020-10-29,173.5,173.5,171.6,172.5,637430.0
2020-10-30,171.6,171.6,168.0,170.0,1005570.0
2020-11-03,170.0,175.0,169.0,174.5,889400.0
2020-11-04,175.1,185.0,175.1,185.0,1654170.0
2020-11-05,185.0,199.0,184.8,194.2,2009130.0
2020-11-06,194.4,197.0,188.1,196.8,1756460.0
2020-11-09,197.0,201.2,195.0,198.9,1126490.0
2020-11-10,198.5,201.8,196.0,200.2,2113830.0
2020-11-11,200.2,200.2,196.0,196.5,1316330.0
2020-11-13,196.0,196.1,192.8,193.2,1097780.0
2020-11-16,193.3,195.7,189.0,190.2,1039390.0
2020-11-17,190.3,196.5,190.3,196.5,1005340.0
2020-11-18,196.9,198.0,196.3,196.6,451570.0
2020-11-19,196.5,196.5,193.0,193.8,501090.0
2020-11-20,194.0,195.0,192.0,195.0,530820.0
2020-11-23,195.0,195.0,192.2,193.0,813110.0
2020-11-24,193.0,193.0,190.0,190.0,996580.0
2020-11-25,191.0,194.6,191.0,191.0,566790.0
2020-11-26,191.0,191.1,188.5,189.0,693960.0
2020-11-27,189.7,194.3,189.0,189.0,1719420.0
2020-12-01,187.0,197.0,185.7,197.0,928550.0
2020-12-02,197.0,199.0,194.3,199.0,885050.0
2020-12-03,199.8,205.0,199.3,204.8,1626900.0
2020-12-04,204.8,207.2,202.4,206.4,1116580.0
2020-12-07,207.0,209.0,205.2,209.0,849270.0
2020-12-09,209.0,211.0,209.0,210.6,618320.0
2020-12-10,210.8,210.8,207.8,207.8,676190.0
2020-12-11,207.8,209.6,205.0,207.0,1170070.0
2020-12-14,206.8,208.0,206.0,207.0,603610.0
2020-12-15,207.4,209.8,207.0,207.0,1085840.0
2020-12-16,209.0,209.0,206.2,206.2,1027020.0
2020-12-17,208.0,208.2,206.2,206.2,463650.0
2020-12-18,206.4,206.4,202.4,204.0,786270.0
2020-12-21,203.2,204.0,201.8,201.8,577690.0
2020-12-22,201.0,201.4,193.3,197.0,1023200.0
2020-12-23,197.5,198.7,194.0,197.5,776750.0
2020-12-28,196.0,196.3,192.7,193.3,597460.0
2020-12-29,193.4,197.0,193.3,195.2,702460.0
