Date,Open,High,Low,Close,Volume
2020-01-02,65.85,66.1,64.9,65.0,2795490.0
2020-01-03,64.8,65.95,64.7,65.0,3384710.0
2020-01-06,64.95,64.95,64.3,64.55,1785330.0
2020-01-07,64.5,65.45,64.25,65.1,1339140.0
2020-01-08,64.5,64.95,64.1,64.6,1950680.0
2020-01-09,64.85,65.9,64.85,65.9,1497840.0
2020-01-10,65.9,67.0,65.35,67.0,983510.0
2020-01-14,66.5,66.5,65.0,65.8,4853850.0
2020-01-15,65.8,65.8,64.95,65.0,2967360.0
2020-01-16,64.7,65.4,64.4,65.0,1733900.0
2020-01-17,65.0,65.4,64.85,65.05,3148230.0
2020-01-20,65.05,65.2,64.2,65.0,2855040.0
2020-01-21,64.2,64.5,63.8,63.95,3281160.0
2020-01-22,63.5,64.95,63.45,64.95,1958050.0
2020-01-23,64.9,64.9,64.1,64.8,2859880.0
2020-01-24,64.7,64.75,64.0,64.55,2744860.0
2020-01-27,64.55,65.0,64.5,64.8,579000.0
2020-01-28,64.65,64.75,64.45,64.6,2592630.0
2020-01-29,64.6,64.8,62.85,64.0,1701980.0
2020-01-30,64.0,64.0,61.3,61.3,2069090.0
2020-01-31,60.6,62.35,57.15,57.35,7325000.0
2020-02-03,57.45,58.95,56.0,56.05,4255650.0
2020-02-04,56.65,58.4,56.65,56.65,8603740.0
2020-02-05,58.1,59.8,58.0,59.8,3980750.0
2020-02-06,60.0,61.55,60.0,61.55,2325010.0
2020-02-07,60.95,61.3,60.8,60.9,1514740.0
2020-02-10,60.8,61.15,58.6,58.8,2354160.0
2020-02-11,59.75,60.5,58.3,58.3,1002830.0
2020-02-12,58.5,59.5,58.3,58.3,2005820.0
2020-02-13,59.0,59.7,58.45,59.35,1950020.0
2020-02-14,59.3,59.85,58.0,58.0,3016760.0
2020-02-17,58.35,59.1,58.1,59.0,1904520.0
2020-02-18,58.5,59.5,58.5,58.6,2580790.0
2020-02-19,58.35,59.3,58.35,59.0,1533610.0
2020-02-20,59.0,60.9,59.0,60.6,6017910.0
2020-02-21,61.0,61.1,60.6,60.85,2463020.0
2020-02-24,60.85,61.0,59.35,60.1,2051930.0
2020-02-26,59.0,59.2,57.2,59.1,4376380.0
2020-02-27,59.1,60.0,57.2,57.25,2640720.0
2020-02-28,57.25,57.3,56.05,56.05,4440650.0
2020-03-02,56.1,57.45,55.1,55.1,2556140.0
2020-03-03,56.2,56.35,53.5,53.5,4282080.0
2020-03-04,54.7,56.1,53.75,56.1,2702740.0
2020-03-05,56.1,56.75,55.5,56.0,1248130.0
2020-03-06,56.0,56.0,53.0,53.0,3471650.0
2020-03-09,51.5,51.5,47.5,47.5,6214870.0
2020-03-10,45.6,50.5,45.55,49.35,5148700.0
2020-03-11,51.7,51.7,47.8,48.1,3482100.0
2020-03-12,47.0,47.0,43.05,43.35,6519300.0
2020-03-13,42.5,47.3,40.8,45.2,6392300.0
2020-03-16,44.0,44.1,41.55,43.5,2526500.0
2020-03-19,39.5,40.0,32.9,39.0,9899600.0
2020-03-20,40.0,40.15,38.7,39.1,5897600.0
2020-03-23,37.5,38.5,35.0,36.1,3253600.0
2020-03-24,36.55,37.95,35.3,35.3,5947200.0
2020-03-25,37.9,38.05,35.9,35.9,5714700.0
2020-03-26,36.55,37.3,36.05,36.1,12644500.0
2020-03-27,37.9,39.85,37.2,37.9,7849600.0
2020-03-30,37.8,37.8,36.2,37.6,3882500.0
2020-03-31,38.25,40.45,38.25,40.0,7019200.0
2020-04-01,39.7,39.95,38.9,39.95,2984000.0
2020-04-02,38.7,39.0,37.6,37.9,4228500.0
2020-04-03,38.8,38.8,36.7,37.0,4677800.0
2020-04-06,37.5,37.6,37.0,37.15,4767200.0
2020-04-07,38.1,38.4,37.05,37.05,6284300.0
2020-04-08,37.2,37.4,36.3,36.3,4917900.0
2020-04-13,37.0,37.75,36.8,37.0,3241800.0
2020-04-14,37.5,39.15,37.25,38.85,7986700.0
2020-04-15,38.0,41.1,38.0,41.1,18598200.0
2020-04-16,40.5,40.5,39.6,39.95,7129300.0
2020-04-17,41.0,42.1,40.75,41.65,4889400.0
2020-04-20,41.95,42.3,40.0,41.35,3086100.0
2020-04-21,40.15,40.5,38.55,38.95,6932100.0
2020-04-22,38.5,39.05,37.6,38.05,3677300.0
2020-04-23,39.0,39.8,38.6,39.0,2713500.0
2020-04-24,39.45,39.5,38.75,39.0,4574900.0
2020-04-27,38.8,38.9,37.5,37.5,4453500.0
2020-04-28,38.25,38.6,37.5,37.5,4941000.0
2020-04-29,38.0,38.05,37.4,37.6,2108600.0
2020-04-30,38.15,39.1,37.65,39.05,7605700.0
2020-05-04,38.5,38.8,37.05,37.05,6639100.0
2020-05-05,37.2,37.85,37.2,37.5,3215100.0
