Date,Open,High,Low,Close,Volume
2020-01-02,302.8,316.0,301.0,316.0,114300.0
2020-01-03,312.8,318.8,310.4,312.4,145910.0
2020-01-06,313.0,314.8,310.8,311.0,94430.0
2020-01-07,314.8,314.8,305.0,309.0,126720.0
2020-01-08,309.0,309.0,300.4,301.8,174490.0
2020-01-09,302.0,306.6,300.4,301.0,169040.0
2020-01-10,303.6,308.0,301.0,308.0,173080.0
2020-01-14,302.0,307.8,302.0,304.8,209810.0
2020-01-15,304.8,306.0,287.0,292.4,254360.0
2020-01-16,295.0,299.8,290.0,295.0,179270.0
2020-01-17,295.0,298.0,291.0,291.0,194860.0
2020-01-20,295.0,295.0,280.4,281.0,357150.0
2020-01-21,281.0,284.8,279.2,279.2,144370.0
2020-01-22,276.4,290.0,276.0,290.0,231760.0
2020-01-23,290.0,302.0,285.2,302.0,309270.0
2020-01-24,299.8,302.4,290.0,302.4,118100.0
2020-01-27,302.2,302.2,291.0,294.0,250490.0
2020-01-28,293.0,298.0,282.0,282.0,166530.0
2020-01-29,296.0,296.0,275.0,275.0,289510.0
2020-01-30,280.0,285.0,276.0,277.4,182150.0
2020-01-31,277.4,280.0,256.0,256.0,611920.0
2020-02-03,264.0,264.0,256.0,259.0,281420.0
2020-02-04,260.0,274.0,259.8,266.8,161340.0
2020-02-05,268.2,274.8,268.2,274.8,109460.0
2020-02-06,275.0,291.0,275.0,291.0,263080.0
2020-02-07,286.0,288.8,282.8,288.8,106690.0
2020-02-10,288.8,288.8,279.0,279.0,169980.0
2020-02-11,279.0,282.0,277.0,277.0,79200.0
2020-02-12,276.8,277.4,263.8,263.8,271460.0
2020-02-13,264.2,268.0,262.0,263.2,316510.0
2020-02-14,263.2,270.4,262.0,262.0,291130.0
2020-02-17,266.8,268.0,264.0,266.0,29580.0
2020-02-18,268.8,268.8,266.0,268.8,105100.0
2020-02-19,269.0,279.0,267.6,279.0,143670.0
2020-02-20,278.8,281.6,275.4,279.0,154300.0
2020-02-21,279.0,280.0,270.0,270.0,166660.0
2020-02-24,262.0,263.2,260.4,262.0,368110.0
2020-02-26,261.0,265.8,255.2,257.0,599710.0
2020-02-27,257.2,261.8,256.6,260.0,404960.0
2020-02-28,257.0,269.8,256.4,269.8,405230.0
2020-03-02,265.0,266.0,257.0,257.0,558750.0
2020-03-03,261.0,264.0,257.4,257.8,381830.0
2020-03-04,260.0,267.4,257.6,267.4,261620.0
2020-03-05,269.0,269.8,265.0,267.0,288340.0
2020-03-06,267.0,269.0,264.2,269.0,192030.0
2020-03-09,268.0,268.0,258.0,258.0,225070.0
2020-03-10,257.0,257.0,251.0,253.0,373280.0
2020-03-11,254.0,264.8,254.0,256.0,432120.0
2020-03-12,255.4,255.4,230.0,230.2,632130.0
2020-03-13,220.0,253.0,210.2,240.0,615910.0
2020-03-16,253.0,253.0,231.0,243.0,486610.0
2020-03-19,218.8,230.0,189.7,210.0,696650.0
2020-03-20,220.0,226.0,196.1,200.0,712850.0
2020-03-23,200.0,218.0,199.0,218.0,551470.0
2020-03-24,214.0,214.0,206.0,208.0,483810.0
2020-03-25,218.0,220.0,210.2,212.4,382370.0
2020-03-26,216.6,224.8,212.6,216.2,513830.0
2020-03-27,225.0,230.0,218.2,220.0,385350.0
2020-03-30,220.0,221.8,210.0,214.4,310440.0
2020-03-31,221.2,225.0,213.0,225.0,378030.0
2020-04-01,223.0,236.2,220.4,231.2,378950.0
2020-04-02,231.2,234.0,222.2,232.0,126520.0
2020-04-03,232.0,240.0,227.0,240.0,193150.0
2020-04-06,241.0,260.0,240.0,260.0,433720.0
2020-04-07,270.0,275.0,251.0,266.2,462560.0
2020-04-08,253.0,268.0,253.0,266.2,330920.0
2020-04-13,266.2,267.0,258.0,267.0,309640.0
2020-04-14,267.0,277.0,260.8,268.0,361770.0
2020-04-15,277.8,278.0,268.4,278.0,260860.0
2020-04-16,274.0,274.6,260.0,260.0,629900.0
2020-04-17,263.0,270.2,262.0,269.0,399140.0
2020-04-20,269.0,275.0,261.8,261.8,213760.0
2020-04-21,264.0,266.0,257.6,257.6,219600.0
2020-04-22,255.0,270.0,252.2,270.0,252590.0
2020-04-23,268.0,268.0,258.4,258.4,263280.0
2020-04-24,258.0,262.4,255.0,256.0,146090.0
2020-04-27,255.0,255.0,251.2,252.0,214730.0
2020-04-28,252.2,263.8,252.2,262.2,150710.0
2020-04-29,264.0,264.0,255.2,261.8,203710.0
2020-04-30,264.2,266.0,254.4,254.4,344280.0
2020-05-04,255.0,257.8,252.8,254.6,281040.0
2020-05-05,257.0,260.0,255.0,256.0,217090.0
