Date,Open,High,Low,Close,Volume
2020-01-02,22.1,22.25,21.45,22.0,254000.0
2020-01-03,22.0,22.5,22.0,22.2,233200.0
2020-01-06,22.2,22.2,22.0,22.0,185300.0
2020-01-07,22.0,22.25,21.9,22.2,466300.0
2020-01-08,22.05,22.05,21.9,22.0,683900.0
2020-01-09,21.95,22.1,21.8,22.1,610500.0
2020-01-10,22.1,22.1,21.8,22.0,379200.0
2020-01-14,22.0,22.2,21.4,21.9,492900.0
2020-01-15,21.9,21.9,21.55,21.9,1173700.0
2020-01-16,21.9,21.9,21.55,21.65,485100.0
2020-01-17,21.8,21.8,21.55,21.8,370100.0
2020-01-20,21.8,21.8,21.05,21.5,271400.0
2020-01-21,21.1,21.5,20.95,21.5,497900.0
2020-01-22,21.45,21.45,20.95,21.1,914100.0
2020-01-23,21.3,21.5,21.05,21.5,164700.0
2020-01-24,21.5,22.0,21.0,22.0,242500.0
2020-01-27,22.0,22.0,21.2,21.65,99300.0
2020-01-28,21.65,21.65,20.65,20.65,217100.0
2020-01-29,20.7,21.1,19.96,20.0,2298500.0
2020-01-30,20.0,20.75,19.96,20.0,2106200.0
2020-01-31,20.0,22.0,19.9,22.0,729700.0
2020-02-03,21.6,21.6,20.2,20.35,275600.0
2020-02-04,21.4,21.4,20.2,20.2,563200.0
2020-02-05,20.3,20.5,19.86,20.25,440200.0
2020-02-06,20.5,20.6,20.3,20.35,316600.0
2020-02-07,20.0,20.8,20.0,20.8,137300.0
2020-02-10,20.8,20.8,20.2,20.3,376400.0
2020-02-11,20.3,20.3,19.98,20.3,548000.0
2020-02-12,20.3,20.3,19.96,20.0,213500.0
2020-02-13,20.05,20.2,19.98,20.2,238600.0
2020-02-14,20.2,20.25,19.8,19.9,1260400.0
2020-02-17,20.1,20.1,19.8,19.9,205300.0
2020-02-18,20.0,20.15,19.9,20.15,110100.0
2020-02-19,20.1,20.2,19.7,20.2,453200.0
2020-02-20,20.1,20.2,19.86,20.2,333700.0
