Date,Open,High,Low,Close,Volume
2020-01-02,32.9,33.2,32.6,32.9,41700.0
2020-01-03,33.1,34.4,32.9,34.2,647400.0
2020-01-06,34.2,35.0,33.6,33.75,653500.0
2020-01-07,33.85,34.1,33.4,33.4,288300.0
2020-01-08,33.5,34.0,32.05,32.05,614700.0
2020-01-09,32.3,32.95,32.3,32.8,156300.0
2020-01-10,33.6,33.6,32.8,33.4,173000.0
2020-01-14,33.4,33.4,32.5,33.0,147600.0
2020-01-15,33.05,33.4,32.9,32.95,123700.0
2020-01-16,33.15,33.2,32.7,33.0,261400.0
2020-01-17,33.2,33.25,32.8,32.95,105900.0
2020-01-20,32.95,33.15,31.45,31.6,824300.0
2020-01-21,31.6,31.9,31.3,31.45,108200.0
2020-01-22,31.5,32.3,31.35,31.5,410700.0
2020-01-23,31.5,31.95,31.35,31.5,167600.0
2020-01-24,32.0,32.0,31.35,31.5,18900.0
2020-01-27,32.0,32.0,30.85,31.1,295600.0
2020-01-28,31.5,31.5,30.0,30.05,266300.0
2020-01-29,30.95,31.0,30.15,30.15,51300.0
2020-01-30,31.0,31.0,29.8,30.0,249900.0
2020-01-31,30.8,30.8,29.8,29.95,355100.0
2020-02-03,29.95,30.0,29.4,29.45,92800.0
2020-02-04,29.45,30.0,29.45,29.55,237800.0
2020-02-05,30.8,30.8,29.75,30.6,48900.0
2020-02-06,30.6,30.85,29.85,30.65,125300.0
2020-02-07,30.6,32.0,30.6,31.0,126000.0
2020-02-10,31.0,31.5,30.65,30.65,178600.0
2020-02-11,30.9,30.9,30.1,30.2,135300.0
2020-02-12,30.3,30.45,30.0,30.15,282800.0
2020-02-13,30.45,30.5,29.4,29.5,903200.0
2020-02-14,29.5,29.75,29.1,29.35,301000.0
2020-02-17,29.35,29.35,28.6,28.6,208100.0
2020-02-18,29.0,29.5,28.6,29.0,64300.0
2020-02-19,29.1,29.65,29.0,29.15,26900.0
2020-02-20,29.15,29.65,29.15,29.4,37900.0
2020-02-21,29.7,29.7,28.9,28.95,116700.0
2020-02-24,29.5,29.5,28.1,28.3,225000.0
2020-02-26,28.3,28.4,27.3,27.3,237400.0
2020-02-27,27.3,27.5,26.05,26.7,508900.0
2020-02-28,26.7,26.7,25.95,26.05,238900.0
2020-03-02,26.75,26.75,26.1,26.2,299000.0
2020-03-03,26.5,26.75,26.2,26.2,292200.0
2020-03-04,26.2,26.5,26.15,26.35,633100.0
2020-03-05,26.6,27.0,26.35,26.6,103000.0
2020-03-06,27.0,27.0,26.5,26.8,271600.0
2020-03-09,26.05,26.05,24.5,24.5,402200.0
2020-03-10,24.35,24.35,22.3,23.05,571400.0
2020-03-11,23.4,24.0,23.3,23.65,477300.0
2020-03-12,23.6,23.6,22.1,22.3,689100.0
2020-03-13,22.0,22.0,20.05,21.0,266200.0
2020-03-16,21.9,21.9,20.3,20.75,244200.0
2020-03-19,20.65,20.65,17.5,17.5,262900.0
2020-03-20,17.7,19.0,17.7,18.5,136400.0
2020-03-23,18.8,18.9,17.5,17.8,261700.0
2020-03-24,18.5,18.5,17.8,18.0,210200.0
2020-03-25,18.5,19.02,18.5,18.7,645000.0
2020-03-26,18.56,19.58,18.4,18.7,376300.0
2020-03-27,19.0,19.0,18.66,18.7,892400.0
2020-03-30,18.7,18.8,18.1,18.5,934100.0
2020-03-31,18.52,19.0,18.52,18.86,373000.0
2020-04-01,19.0,19.0,18.82,18.88,412400.0
2020-04-02,18.88,18.88,18.0,18.5,139200.0
2020-04-03,19.0,19.2,18.5,18.6,318100.0
2020-04-06,18.7,18.9,18.52,18.7,424700.0
2020-04-07,18.9,18.9,18.02,18.06,960700.0
2020-04-08,18.22,18.22,18.02,18.06,488100.0
2020-04-13,18.06,18.3,18.02,18.08,1496600.0
2020-04-14,18.08,18.54,18.04,18.26,1339300.0
2020-04-15,18.42,19.32,18.42,18.82,1014000.0
2020-04-16,19.1,19.8,19.02,19.36,921500.0
2020-04-17,19.36,19.7,18.9,19.1,1086600.0
2020-04-20,19.24,19.28,18.52,19.04,617100.0
2020-04-21,18.5,18.5,17.0,17.92,1571200.0
2020-04-22,17.9,18.26,17.5,18.26,1635900.0
2020-04-23,18.52,19.0,18.52,18.8,583600.0
2020-04-24,18.66,18.8,18.18,18.2,609900.0
2020-04-27,18.3,18.5,18.12,18.48,414700.0
2020-04-28,18.5,18.8,18.4,18.4,316200.0
2020-04-29,18.5,18.5,18.24,18.24,652400.0
2020-04-30,18.4,18.68,18.32,18.5,781500.0
2020-05-04,18.56,18.6,18.4,18.52,544100.0
2020-05-05,18.56,18.8,18.52,18.74,288900.0
2020-05-06,18.7,18.7,18.46,18.46,480300.0
2020-05-07,18.5,18.68,18.5,18.66,271300.0
2020-05-08,18.66,18.82,18.66,18.72,431000.0
2020-05-11,18.8,18.82,18.6,18.62,373600.0
2020-05-12,18.8,18.8,18.7,18.72,243300.0
2020-05-13,18.8,18.8,18.54,18.54,309800.0
2020-05-14,18.5,18.5,17.78,18.0,1141500.0
2020-05-15,18.3,18.3,17.72,17.72,339000.0
2020-05-18,17.72,17.72,16.5,17.0,1517700.0
2020-05-19,17.0,17.28,16.8,16.94,340500.0
2020-05-20,16.94,17.0,16.3,16.38,726900.0
2020-05-21,16.48,17.3,16.48,16.58,616900.0
2020-05-22,17.42,17.42,16.64,16.9,704100.0
2020-05-26,16.9,16.92,16.4,16.46,597100.0
2020-05-27,16.9,16.98,16.52,16.72,424000.0
2020-05-28,17.0,17.14,16.6,16.9,1459100.0
2020-05-29,17.1,17.28,17.0,17.12,1152400.0
2020-06-01,17.2,17.74,17.2,17.6,637600.0
2020-06-02,17.78,18.0,17.74,17.92,1190400.0
2020-06-03,18.1,18.32,18.1,18.12,420100.0
2020-06-04,18.12,18.12,17.9,18.0,1602200.0
2020-06-05,18.0,18.12,17.8,18.02,3301900.0
2020-06-08,18.98,20.1,18.62,19.52,2108700.0
2020-06-09,20.2,20.85,20.2,20.65,4383000.0
2020-06-10,20.7,22.3,19.5,19.82,1549000.0
2020-06-11,19.84,19.9,19.0,19.8,659000.0
2020-06-15,19.5,19.5,18.5,18.84,815900.0
2020-06-16,18.88,19.4,18.88,19.0,771200.0
2020-06-17,19.2,19.6,18.8,18.8,580900.0
2020-06-18,18.9,18.9,18.02,18.2,470600.0
2020-06-19,18.3,18.6,18.22,18.4,824000.0
2020-06-22,18.6,18.66,18.46,18.48,242100.0
2020-06-23,18.7,18.76,18.02,18.3,398600.0
2020-06-24,18.78,18.78,18.2,18.2,409200.0
2020-06-25,18.2,18.48,18.02,18.04,209000.0
2020-06-26,18.02,19.0,18.0,18.4,289300.0
2020-06-29,18.4,18.4,18.0,18.02,207100.0
2020-06-30,18.02,18.22,17.92,17.96,457100.0
2020-07-01,18.16,18.42,17.7,18.0,211900.0
2020-07-02,18.1,18.4,17.92,18.2,131800.0
2020-07-03,18.28,18.44,18.28,18.38,1425400.0
2020-07-06,18.48,18.7,18.44,18.64,271800.0
2020-07-07,18.66,19.2,18.66,18.96,3588300.0
2020-07-08,19.0,19.0,18.5,18.7,618500.0
2020-07-09,18.8,19.0,18.6,19.0,523700.0
2020-07-10,18.96,18.96,18.5,18.94,233700.0
2020-07-13,18.94,18.94,18.48,18.8,244100.0
2020-07-14,18.7,18.7,18.52,18.52,178600.0
2020-07-15,18.52,18.56,18.04,18.1,480500.0
2020-07-16,18.1,18.18,17.9,18.0,381200.0
2020-07-17,18.0,18.46,18.0,18.18,38800.0
2020-07-20,18.18,18.48,18.1,18.1,138700.0
2020-07-21,18.4,18.48,18.1,18.26,142300.0
2020-07-22,18.24,18.3,18.22,18.28,33300.0
2020-07-23,18.28,18.28,17.98,18.0,508900.0
2020-07-24,18.1,18.16,18.0,18.04,630100.0
2020-07-27,18.0,18.04,17.5,17.5,302600.0
2020-07-28,17.5,17.6,17.5,17.54,58900.0
2020-07-29,17.8,17.86,17.22,17.22,178800.0
2020-07-30,17.2,17.4,17.08,17.4,284000.0
2020-08-03,17.06,17.06,16.7,16.82,308500.0
2020-08-04,17.0,17.12,16.8,17.1,57100.0
2020-08-05,17.1,17.5,17.1,17.4,499200.0
2020-08-06,17.4,17.86,17.32,17.68,1337900.0
2020-08-07,17.7,17.8,17.5,17.5,3132500.0
2020-08-10,17.5,17.6,17.42,17.5,874000.0
2020-08-11,17.52,17.6,17.5,17.54,381800.0
2020-08-12,17.7,17.7,17.5,17.5,81400.0
2020-08-13,16.9,16.98,16.3,16.78,3391900.0
2020-08-14,16.72,16.92,16.56,16.9,479100.0
2020-08-17,16.9,17.18,16.72,17.18,1905300.0
2020-08-18,17.2,17.5,16.88,16.9,1159100.0
2020-08-19,17.02,17.04,16.9,17.0,933800.0
2020-08-20,17.04,17.2,16.98,17.04,209500.0
2020-08-24,17.2,17.3,17.06,17.3,612600.0
2020-08-25,17.3,17.48,17.2,17.48,190500.0
2020-08-26,17.48,17.7,17.46,17.6,174200.0
2020-08-27,17.66,17.7,17.5,17.52,2273100.0
2020-08-28,17.52,17.7,17.52,17.7,443700.0
2020-09-01,17.7,17.7,17.4,17.68,135400.0
2020-09-02,17.66,17.78,17.58,17.76,3953800.0
2020-09-03,17.64,18.04,17.6,17.84,768600.0
2020-09-04,17.84,17.86,17.72,17.74,204400.0
2020-09-07,17.74,17.8,17.42,17.74,468700.0
2020-09-08,17.74,17.9,17.72,17.72,475800.0
2020-09-09,17.76,17.8,17.74,17.74,169100.0
2020-09-10,17.76,17.8,17.72,17.74,187500.0
2020-09-11,17.74,17.78,17.58,17.78,117800.0
2020-09-14,17.78,17.8,17.74,17.76,181300.0
2020-09-15,17.76,17.76,17.6,17.62,262600.0
2020-09-16,17.76,17.76,17.38,17.4,476800.0
2020-09-17,17.58,17.58,17.08,17.4,671200.0
2020-09-18,17.6,17.64,17.5,17.64,286500.0
2020-09-21,17.58,17.58,17.36,17.4,193900.0
2020-09-22,17.4,17.4,17.04,17.06,283500.0
2020-09-23,17.06,17.06,16.96,16.96,398700.0
2020-09-24,16.96,17.0,16.82,16.84,387900.0
2020-09-25,16.98,16.98,16.82,16.84,155300.0
2020-09-28,16.84,16.84,16.6,16.6,246500.0
2020-09-29,16.58,16.6,16.0,16.3,1098200.0
2020-09-30,16.34,16.5,16.02,16.14,301000.0
2020-10-01,16.1,16.1,15.32,15.4,1397100.0
2020-10-02,15.5,15.5,14.52,14.8,1200300.0
2020-10-05,14.8,15.2,14.8,15.16,851500.0
2020-10-06,15.16,15.16,14.9,14.9,780900.0
2020-10-07,15.0,15.0,14.86,15.0,247500.0
2020-10-08,15.0,15.5,14.9,15.2,375600.0
2020-10-09,15.2,15.8,15.2,15.8,195900.0
2020-10-12,15.8,15.96,15.4,15.42,250000.0
2020-10-13,15.8,15.8,15.42,15.52,181700.0
2020-10-14,15.52,16.0,15.4,16.0,288400.0
2020-10-15,16.0,16.02,15.84,15.98,558100.0
2020-10-16,15.98,16.16,15.98,16.1,189400.0
2020-10-19,16.1,16.34,16.1,16.2,763500.0
2020-10-20,16.36,16.36,16.22,16.24,432900.0
2020-10-21,16.3,16.5,16.3,16.4,1730200.0
2020-10-22,16.4,16.5,16.2,16.22,7610200.0
2020-10-23,16.22,16.52,16.22,16.46,4639400.0
2020-10-26,16.48,16.8,16.46,16.52,543800.0
2020-10-27,16.6,16.68,16.54,16.6,272600.0
2020-10-28,16.64,16.96,16.64,16.92,568800.0
2020-10-29,16.94,16.94,16.5,16.5,380100.0
2020-10-30,16.5,16.5,16.4,16.48,150400.0
2020-11-03,16.6,16.6,16.18,16.24,454600.0
2020-11-04,16.3,16.3,16.04,16.08,385400.0
2020-11-05,16.04,16.32,16.02,16.3,685000.0
2020-11-06,16.4,16.4,16.06,16.2,658900.0
2020-11-09,16.4,16.4,16.2,16.28,632300.0
2020-11-10,16.6,16.88,16.38,16.78,1019900.0
2020-11-11,16.8,16.8,16.5,16.7,842400.0
2020-11-13,16.64,16.64,16.42,16.52,4582400.0
2020-11-16,16.6,16.92,16.54,16.8,583400.0
2020-11-17,16.84,17.5,16.84,17.4,1334600.0
2020-11-18,17.6,18.04,17.6,17.9,4388600.0
2020-11-19,17.9,18.0,17.6,17.84,2489800.0
2020-11-20,17.78,18.28,17.68,17.94,8260100.0
2020-11-23,18.16,18.7,18.0,18.34,3346700.0
2020-11-24,18.78,18.8,18.54,18.54,2567900.0
2020-11-25,18.76,19.76,18.7,19.6,3653000.0
2020-11-26,19.8,20.1,19.04,19.36,2813900.0
2020-11-27,19.6,19.86,19.6,19.76,4965800.0
2020-12-01,19.98,21.35,19.98,20.8,5093800.0
2020-12-02,21.0,21.7,21.0,21.3,1474500.0
2020-12-03,21.3,21.5,20.0,21.15,687200.0
2020-12-04,21.2,21.6,21.05,21.3,10980300.0
2020-12-07,21.3,22.55,21.3,22.25,1861300.0
2020-12-09,22.3,23.3,22.3,23.0,3143600.0
2020-12-10,23.05,23.15,22.5,22.95,783000.0
2020-12-11,23.1,23.1,22.6,22.8,1420200.0
2020-12-14,22.8,22.85,22.1,22.45,1376900.0
2020-12-15,22.45,22.7,22.1,22.65,664900.0
2020-12-16,22.4,22.55,22.3,22.35,1203200.0
2020-12-17,22.35,22.95,22.3,22.35,738400.0
2020-12-18,22.35,22.8,21.3,21.5,1057500.0
2020-12-21,21.55,21.6,21.3,21.3,602200.0
2020-12-22,21.3,21.3,20.05,20.8,1187700.0
2020-12-23,20.7,20.8,20.05,20.8,425500.0
2020-12-28,20.5,20.5,20.1,20.25,497500.0
2020-12-29,20.5,20.8,20.3,20.65,402800.0
2021-01-04,20.5,21.1,20.5,20.95,385600.0
2021-01-05,20.95,21.4,20.8,21.1,325900.0
2021-01-06,21.15,21.5,20.95,21.4,922300.0
2021-01-07,21.5,21.9,21.4,21.55,407200.0
2021-01-08,21.55,21.7,21.25,21.35,954400.0
2021-01-11,21.4,21.5,21.15,21.5,211200.0
2021-01-12,21.5,21.7,21.4,21.5,222500.0
2021-01-13,21.1,21.5,21.1,21.25,301800.0
2021-01-14,21.2,21.5,21.0,21.4,223100.0
2021-01-15,21.35,21.35,20.1,20.3,1597800.0
2021-01-18,20.3,20.6,20.3,20.4,141400.0
2021-01-19,20.4,20.5,20.1,20.1,325100.0
2021-01-20,20.3,20.6,20.0,20.25,384900.0
2021-01-21,20.25,20.85,20.25,20.7,249200.0
2021-01-22,20.75,21.5,20.5,21.4,724200.0
2021-01-25,21.6,21.9,20.95,21.0,423900.0
2021-01-26,21.0,21.0,20.2,20.65,507200.0
2021-01-27,20.65,20.65,20.05,20.5,355800.0
2021-01-28,20.5,20.5,20.0,20.35,274600.0
2021-01-29,20.3,20.35,19.6,20.2,338200.0
2021-02-01,20.2,20.3,20.0,20.05,208200.0
2021-02-02,20.05,20.4,20.05,20.4,419200.0
2021-02-03,20.4,21.0,20.2,20.9,586400.0
2021-02-04,20.9,21.45,20.8,21.0,261800.0
2021-02-05,21.1,21.4,21.0,21.4,210800.0
2021-02-08,21.5,21.8,21.4,21.5,418600.0
2021-02-09,21.85,22.2,21.5,21.9,1065200.0
2021-02-10,21.9,22.1,21.7,22.05,659900.0
2021-02-11,22.1,22.1,21.9,22.0,601900.0
2021-02-15,22.0,22.0,21.6,21.7,169600.0
2021-02-16,21.7,22.2,21.7,22.0,453400.0
2021-02-17,22.0,22.5,22.0,22.4,658800.0
2021-02-18,22.45,22.45,22.0,22.0,602800.0
2021-02-19,22.0,22.0,21.8,21.8,245700.0
2021-02-22,21.9,22.25,21.75,22.2,342200.0
2021-02-23,22.1,22.25,21.7,21.9,556500.0
2021-02-24,22.0,22.0,21.5,21.95,671200.0
2021-02-26,21.95,21.95,21.55,21.8,668200.0
2021-03-01,21.9,21.9,21.4,21.55,280900.0
2021-03-02,21.8,22.1,21.55,21.95,491900.0
2021-03-03,21.85,22.0,21.85,22.0,155300.0
2021-03-04,21.9,23.0,21.8,22.25,528300.0
2021-03-05,22.1,22.7,21.9,22.55,279100.0
2021-03-08,22.7,22.7,21.65,22.0,589800.0
2021-03-09,21.7,22.0,21.6,22.0,147900.0
2021-03-10,21.9,22.05,21.6,21.8,617400.0
2021-03-11,22.0,22.0,21.55,21.6,453700.0
2021-03-12,21.9,21.9,21.5,21.5,533000.0
2021-03-15,21.5,21.5,20.1,21.0,1265700.0
