Date,Open,High,Low,Close,Volume
2020-01-02,42.0,42.25,41.0,42.25,8397900.0
2020-01-03,41.85,43.35,41.6,42.8,11589300.0
2020-01-06,42.7,42.7,41.95,42.2,5393600.0
2020-01-07,42.0,42.05,41.6,42.0,7377000.0
2020-01-08,41.6,41.85,41.45,41.45,8351000.0
2020-01-09,41.5,42.2,41.45,42.0,6251700.0
2020-01-10,42.0,42.4,41.65,42.0,16715800.0
2020-01-14,41.5,41.5,39.65,41.05,25675700.0
2020-01-15,40.9,40.95,40.5,40.7,14451500.0
2020-01-16,40.65,40.65,40.05,40.4,10089200.0
2020-01-17,40.9,41.9,40.25,40.7,6785100.0
2020-01-20,40.7,40.7,39.75,39.75,9864400.0
2020-01-21,40.45,40.45,39.5,40.0,11115700.0
2020-01-22,40.0,40.8,40.0,40.2,11421900.0
2020-01-23,40.1,41.3,40.0,40.7,17025100.0
2020-01-24,41.15,41.35,40.8,40.8,7855400.0
2020-01-27,40.75,41.5,40.55,41.0,1830900.0
2020-01-28,41.0,41.0,39.75,39.75,8836800.0
2020-01-29,39.7,40.4,39.7,40.0,17716500.0
2020-01-30,40.0,40.7,40.0,40.0,6861500.0
2020-01-31,40.0,40.35,38.9,38.9,13787400.0
2020-02-03,39.0,39.05,38.75,38.9,14885000.0
2020-02-04,39.0,39.4,38.55,38.9,14029600.0
2020-02-05,39.0,39.6,38.65,39.6,17589000.0
2020-02-06,39.8,41.95,39.65,41.95,9637400.0
2020-02-07,41.05,42.8,40.7,42.35,13350300.0
2020-02-10,42.2,42.35,41.0,42.3,32591800.0
2020-02-11,42.3,43.0,41.5,42.7,11615400.0
2020-02-12,42.45,42.55,42.05,42.3,26874500.0
2020-02-13,42.05,42.25,41.3,42.25,7860300.0
2020-02-14,42.05,42.25,41.5,41.7,28469100.0
2020-02-17,41.45,41.7,40.6,41.7,23900900.0
2020-02-18,41.6,41.7,40.75,41.7,23553300.0
2020-02-19,41.1,41.5,40.85,41.1,8956100.0
2020-02-20,41.1,42.05,41.05,41.65,9699100.0
2020-02-21,41.65,41.75,41.0,41.3,6633600.0
2020-02-24,40.5,40.5,40.0,40.1,10441500.0
2020-02-26,39.6,39.6,38.15,39.3,22000600.0
2020-02-27,38.8,39.35,38.7,39.05,14296200.0
2020-02-28,38.35,38.4,38.0,38.3,19564600.0
2020-03-02,38.1,39.4,38.0,38.7,12293900.0
2020-03-03,39.45,39.9,39.0,39.0,10201000.0
2020-03-04,39.0,39.5,38.5,39.5,14554000.0
2020-03-05,39.5,39.5,39.2,39.5,29866600.0
2020-03-06,38.65,39.1,38.5,38.55,7856900.0
2020-03-09,38.5,38.5,36.1,36.1,10635500.0
2020-03-10,34.75,36.95,34.75,35.5,28317700.0
2020-03-11,36.0,36.85,34.8,34.8,10847900.0
2020-03-12,34.75,34.75,29.55,30.9,26126700.0
2020-03-13,28.0,32.2,27.0,30.0,32331700.0
2020-03-16,29.4,29.65,27.1,28.5,21905400.0
2020-03-19,25.0,27.5,19.9,27.0,38608100.0
2020-03-20,27.0,28.4,25.0,26.0,22492800.0
2020-03-23,23.5,25.0,23.4,24.7,14121300.0
2020-03-24,25.4,26.85,25.1,25.5,20214300.0
2020-03-25,26.95,27.85,26.0,27.0,17829700.0
2020-03-26,28.25,31.0,27.35,31.0,22578300.0
2020-03-27,31.1,32.45,28.5,28.5,14406400.0
2020-03-30,28.0,28.0,26.1,27.35,13865200.0
2020-03-31,28.05,28.7,27.2,28.4,23699100.0
2020-04-01,28.4,29.85,28.05,28.3,11654300.0
2020-04-02,27.9,29.6,27.5,29.6,9894400.0
2020-04-03,29.15,29.4,28.6,29.0,7305300.0
2020-04-06,29.05,30.15,28.5,30.15,10310600.0
2020-04-07,31.0,31.6,30.2,31.1,14784600.0
2020-04-08,30.5,31.0,29.15,29.2,18388700.0
2020-04-13,29.4,30.1,28.6,30.1,8455700.0
2020-04-14,30.1,30.9,29.65,30.9,7110900.0
2020-04-15,30.9,31.95,30.5,31.9,15335800.0
2020-04-16,30.35,31.0,29.55,29.55,19134500.0
2020-04-17,30.65,31.95,30.3,31.95,13820200.0
2020-04-20,31.95,31.95,30.5,31.5,7963000.0
2020-04-21,30.95,30.95,30.0,30.0,12169600.0
2020-04-22,29.5,29.9,29.1,29.7,8003400.0
2020-04-23,30.2,30.45,30.05,30.25,8418700.0
2020-04-24,30.25,30.25,27.5,28.65,16089200.0
2020-04-27,28.95,28.95,27.6,28.8,13845600.0
2020-04-28,28.8,29.7,28.7,29.7,6917500.0
2020-04-29,29.75,31.0,29.15,30.95,6020100.0
2020-04-30,31.0,31.05,30.05,31.0,13148900.0
2020-05-04,29.25,30.4,28.75,30.4,8936700.0
2020-05-05,30.4,31.15,29.9,30.05,6613900.0
2020-05-06,30.1,30.5,29.55,30.0,6743400.0
2020-05-07,30.2,31.3,30.05,30.9,10831000.0
2020-05-08,31.0,31.3,30.5,31.0,9641700.0
2020-05-11,31.0,31.2,30.55,30.65,1642400.0
2020-05-12,30.4,30.65,29.6,29.6,17194300.0
2020-05-13,29.55,30.0,28.4,28.55,8265700.0
2020-05-14,28.55,30.6,28.1,30.6,6949800.0
2020-05-15,30.05,30.15,29.0,29.0,8206900.0
2020-05-18,29.5,29.85,28.5,29.8,5762700.0
2020-05-19,29.7,30.0,29.2,29.5,4096400.0
2020-05-20,29.8,29.9,29.3,29.65,3831200.0
2020-05-21,29.4,29.5,28.75,28.95,19547300.0
2020-05-22,29.0,29.25,28.55,29.0,5793800.0
2020-05-26,29.0,29.5,28.75,29.5,4574400.0
2020-05-27,29.3,29.8,28.8,29.8,17783200.0
2020-05-28,29.8,29.8,29.15,29.5,10210900.0
2020-05-29,29.6,30.15,29.2,30.15,27177200.0
2020-06-01,29.8,31.75,29.5,31.75,14451000.0
2020-06-02,31.65,32.5,31.1,32.0,14368000.0
2020-06-03,32.4,33.5,31.7,33.5,9109900.0
2020-06-04,33.45,34.3,33.25,33.95,20534200.0
2020-06-05,33.5,34.0,32.0,32.9,13050700.0
2020-06-08,33.3,34.2,33.1,33.4,23062800.0
2020-06-09,33.4,34.15,33.1,33.5,12442100.0
2020-06-10,33.55,33.85,31.9,33.0,12070700.0
2020-06-11,32.8,33.25,31.9,33.25,24280900.0
2020-06-15,32.3,32.75,30.65,30.65,10800600.0
2020-06-16,31.7,31.95,30.6,31.0,8352600.0
2020-06-17,31.45,31.65,30.7,31.0,14713800.0
2020-06-18,31.0,32.0,31.0,32.0,3223200.0
2020-06-19,31.9,32.95,31.4,31.45,29903900.0
2020-06-22,31.7,32.2,31.2,32.2,3773400.0
2020-06-23,31.95,31.95,31.6,31.7,4542800.0
2020-06-24,31.5,31.85,31.0,31.0,5232800.0
2020-06-25,30.9,31.3,30.45,31.2,25833900.0
2020-06-26,31.5,31.6,30.05,31.6,13688600.0
2020-06-29,31.0,31.9,30.7,31.9,4721500.0
2020-06-30,31.95,32.05,31.35,31.85,5735100.0
2020-07-01,31.85,32.5,31.3,32.35,6131700.0
2020-07-02,32.3,33.7,32.0,33.05,8455200.0
2020-07-03,33.1,33.4,32.85,33.4,18372100.0
2020-07-06,33.4,33.4,32.65,32.7,7186400.0
2020-07-07,32.6,32.75,31.5,31.5,7071200.0
2020-07-08,31.5,32.05,31.2,31.75,5139500.0
2020-07-09,31.75,31.85,30.5,30.5,5449300.0
2020-07-10,30.8,32.0,30.05,31.9,5031900.0
2020-07-13,31.75,31.75,31.1,31.2,3076100.0
2020-07-14,31.2,31.75,31.2,31.6,3879600.0
2020-07-15,31.5,31.7,31.15,31.7,24563500.0
2020-07-16,31.75,32.7,31.75,32.7,2893100.0
2020-07-17,32.45,32.45,30.9,31.2,9145900.0
2020-07-20,31.2,31.9,30.8,31.7,4583900.0
2020-07-21,31.25,31.3,30.75,31.0,11559900.0
2020-07-22,31.1,31.3,30.9,30.9,24409300.0
2020-07-23,31.15,31.15,29.95,30.5,9664200.0
2020-07-24,30.3,30.5,30.05,30.5,13693100.0
2020-07-27,30.5,30.7,30.0,30.3,5562300.0
2020-07-28,30.3,31.2,30.0,31.1,3365200.0
2020-07-29,31.0,31.05,30.3,30.5,4414200.0
